71,76
72,72
72,78
73,71
73,78
74,79
74,80
74,81
75,71
75,80
76,70
76,82
76,85
77,69
77,71
77,84
77,85
78,87
78,88
79,70
79,88
79,89
79,90
80,89
80,91
81,90
81,91
81,93
82,68
82,70
82,91
83,68
83,69
83,96
84,94
85,96
86,49
86,52
86,54
87,43
87,44
87,45
87,47
87,49
87,50
87,51
87,53
87,55
87,59
87,62
87,64
88,41
88,48
88,50
88,54
88,55
88,58
88,60
88,61
88,62
89,38
89,102
89,103
89,104
90,37
91,37
91,103
91,106
92,37
92,38
92,105
93,36
93,106
93,108
94,109
95,33
95,108
95,110
96,34
96,109
96,110
96,111
97,111
97,112
98,32
98,33
98,114
99,113
99,115
100,31
100,114
100,116
101,29
101,30
101,31
101,115
101,117
102,115
102,117
102,118
103,119
104,29
104,117
105,28
106,28
106,119
107,121
108,27
108,122
109,124
110,26
110,123
110,126
111,26
111,126
112,24
112,26
112,127
112,129
112,139
112,140
112,141
112,144
113,131
113,132
113,136
113,141
113,145
114,148
115,24
116,23
116,24
116,150
117,149
118,22
118,151
119,151
120,22
120,152
120,154
121,153
121,154
121,155
121,156
122,21
122,155
122,156
123,157
124,19
124,157
124,159
125,18
125,159
126,161
127,17
127,18
127,162
128,17
128,18
128,160
129,163
129,164
130,17
130,164
131,163
131,165
132,164
132,166
132,167
133,18
133,19
133,166
134,18
134,167
135,20
135,168
136,168
137,20
137,22
137,170
138,171
139,171
140,22
140,172
140,174
142,23
144,23
144,24
145,23
145,179
145,180
146,178
146,180
147,24
147,179
147,181
148,24
148,181
150,24
150,25
150,183
150,184
151,186
152,24
152,25
152,185
152,186
153,24
153,25
153,188
154,25
154,187
154,189
155,26
155,188
156,27
158,28
158,192
158,193
159,103
159,193
160,29
160,30
160,94
160,101
160,104
160,105
160,106
160,107
160,108
160,112
160,194
161,29
161,88
161,89
161,90
161,92
161,93
161,94
161,95
161,97
161,99
161,116
161,117
161,118
161,195
161,196
162,85
162,87
162,89
162,90
162,91
162,118
162,119
162,123
162,197
163,81
163,84
163,86
163,120
163,125
163,196
163,197
163,198
164,33
164,124
164,198
165,77
165,79
165,126
165,127
165,199
165,200
166,36
166,37
166,38
166,76
166,127
166,198
167,35
167,130
167,202
168,42
168,43
168,71
168,74
168,130
168,131
168,203
169,44
169,46
169,47
169,51
169,70
169,72
169,132
169,133
169,203
170,45
170,46
170,47
170,50
170,52
170,54
170,67
170,69
170,133
171,53
171,55
171,57
171,59
171,61
171,65
171,134
171,135
171,137
171,204
171,205
172,137
173,138
173,206
173,208
174,137
174,207
175,138
175,209
177,141
178,142
178,143
178,211
179,144
180,143
180,145
181,144
181,145
181,213
182,144
182,146
182,147
182,214
183,147
183,213
185,147
186,148
187,149
188,212
189,149
190,149
190,207
190,209
192,150
192,151
192,207
193,204
193,207
194,150
194,205
195,204
196,151
197,151
198,149
199,151
200,149
200,208
200,209
201,207
201,208
201,209
202,150
203,151
204,212
204,214
204,216
205,152
205,215
205,216
206,216
206,218
207,219
207,222
208,153
208,154
208,220
211,155
211,156
212,226
213,159
214,157
214,158
214,159
215,158
215,160
215,161
215,226
218,162
218,163
219,161
219,162
220,163
220,164
220,226
221,166
221,225
221,226
222,224
222,226
223,225
224,224
224,225
225,167
225,168
225,223
225,225
226,170
226,223
227,223
228,170
228,171
228,222
229,173
229,174
229,222
230,173
231,175
231,178
231,221
232,178
232,221
232,222
233,180
233,182
233,183
233,184
234,183
234,184
234,186
234,187
235,186
236,187
236,190
237,191
237,192
237,194
237,196
237,198
237,219
237,220
238,194
238,197
238,198
238,199
238,201
239,197
239,199
239,201
239,204
240,203
240,205
240,206
240,218
241,204
241,205
241,206
241,207
241,208
241,209
241,217
242,214
242,215
242,216
