scorer,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000,DLC_resnet50_spinalMotionsJan27shuffle1_200000
bodyparts,head,head,head,back1,back1,back1,back2,back2,back2,back3,back3,back3,back4,back4,back4,back5,back5,back5,back6,back6,back6,back7,back7,back7,back8,back8,back8,back9,back9,back9,back10,back10,back10,back11,back11,back11,back12,back12,back12,back13,back13,back13,back14,back14,back14
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,909.3485717773438,418.5664978027344,0.9989466071128845,891.4776000976562,441.2025451660156,0.9991975426673889,879.5771484375,449.8714904785156,0.9981583952903748,850.7868041992188,468.0646057128906,0.9995052814483643,808.80712890625,476.9434814453125,0.993543267250061,773.425048828125,478.403564453125,0.9991577863693237,739.033447265625,486.8261413574219,0.9999279975891113,718.1668701171875,493.56488037109375,0.9965543746948242,678.7025146484375,516.6414184570312,0.9990381002426147,643.2432861328125,544.8363647460938,0.9935460686683655,614.878662109375,574.632568359375,0.9869990944862366,587.32568359375,610.9373168945312,0.932248592376709,569.3241577148438,638.2647094726562,0.9314681887626648,554.791748046875,676.1924438476562,0.993949294090271,546.7207641601562,705.4309692382812,0.9987403750419617
1,909.4674682617188,416.0348205566406,0.998418927192688,892.0320434570312,438.2621154785156,0.9994520545005798,879.9224243164062,446.60302734375,0.9969768524169922,849.7343139648438,464.2372741699219,0.9987988471984863,808.9055786132812,474.0754089355469,0.994633674621582,773.6614990234375,480.66796875,0.9993307590484619,748.2750244140625,493.72265625,0.9983978867530823,729.8807373046875,503.6572570800781,0.9981765747070312,689.6275634765625,527.5538940429688,0.9996090531349182,652.4939575195312,552.8932495117188,0.9956731200218201,620.9014282226562,578.7507934570312,0.9900660514831543,587.7889404296875,612.4996948242188,0.9358874559402466,569.9177856445312,639.2603759765625,0.945152223110199,554.8932495117188,675.9017333984375,0.994285523891449,546.8231201171875,705.4564208984375,0.9987196922302246
2,908.8734741210938,416.02081298828125,0.9991945624351501,892.0721435546875,439.1225280761719,0.9994681477546692,880.7052001953125,448.4796142578125,0.9982201457023621,849.9796752929688,468.2128601074219,0.9987558126449585,808.0880126953125,482.67877197265625,0.9900319576263428,774.9235229492188,490.7040100097656,0.9785056710243225,758.844970703125,503.6697082519531,0.9959800243377686,740.4037475585938,510.776611328125,0.9988765120506287,699.9229736328125,537.020263671875,0.998986542224884,659.525390625,559.7387084960938,0.9949402809143066,625.6126708984375,584.6566162109375,0.9902798533439636,590.3225708007812,613.7474365234375,0.9568268060684204,570.08203125,639.478271484375,0.9359468221664429,554.4493408203125,675.8446655273438,0.9947518706321716,546.4649658203125,705.5657958984375,0.9985858201980591
3,906.567626953125,417.450927734375,0.999497652053833,892.748046875,441.16094970703125,0.9981149435043335,880.9530029296875,451.09185791015625,0.9977438449859619,852.0716552734375,474.7865295410156,0.9956098198890686,810.3527221679688,489.80487060546875,0.9917047023773193,779.8253784179688,497.99298095703125,0.9918832778930664,760.8475952148438,509.08099365234375,0.9413546323776245,742.95166015625,516.6238403320312,0.9995618462562561,702.4047241210938,542.8150634765625,0.9985883831977844,661.1893920898438,566.3726806640625,0.9888901710510254,622.9970703125,588.9428100585938,0.9736112356185913,587.2103271484375,615.1377563476562,0.9209889769554138,567.1275024414062,640.3209228515625,0.9415764212608337,551.4686279296875,676.377685546875,0.9936935305595398,542.9456787109375,706.8132934570312,0.9981130361557007
4,902.7381591796875,414.6098327636719,0.9985812902450562,890.3096313476562,438.8576354980469,0.9986602067947388,878.3983154296875,451.9227294921875,0.9970920085906982,847.7099609375,478.0618591308594,0.9869197010993958,807.4537353515625,492.2673034667969,0.9924930930137634,779.3348388671875,500.84442138671875,0.992413341999054,761.4692993164062,512.0137329101562,0.9606941342353821,744.7283325195312,520.623779296875,0.9986068606376648,704.6317749023438,546.6820678710938,0.999462902545929,664.263427734375,572.177490234375,0.9908857345581055,625.9759521484375,595.1226806640625,0.9838970899581909,589.02880859375,619.8946533203125,0.9246171116828918,565.4381103515625,643.9020385742188,0.9235548377037048,545.4718627929688,677.6067504882812,0.9395070672035217,537.6307983398438,710.9120483398438,0.9882474541664124
5,896.6875610351562,407.55841064453125,0.9988821148872375,887.4363403320312,431.20416259765625,0.9987528324127197,871.351318359375,448.8153381347656,0.9963482022285461,845.1813354492188,476.9500427246094,0.8968984484672546,806.886474609375,492.47265625,0.9888755083084106,781.2918701171875,501.1083984375,0.9915586709976196,764.2489013671875,513.697265625,0.9753978848457336,749.0938110351562,521.0086059570312,0.9975984692573547,710.25732421875,552.0824584960938,0.9987742304801941,669.8826293945312,578.8439331054688,0.9946481585502625,632.4953002929688,600.6717529296875,0.9796940684318542,593.3431396484375,624.4429321289062,0.9699926376342773,568.4982299804688,646.0231323242188,0.8719322085380554,547.20703125,678.2838134765625,0.9392736554145813,537.280029296875,711.0357055664062,0.9909306168556213
6,888.962890625,406.8992614746094,0.9992341995239258,879.9503173828125,430.7662353515625,0.9993188381195068,868.2255859375,447.11572265625,0.9957809448242188,840.0411376953125,476.5760192871094,0.9242554306983948,807.3745727539062,493.49969482421875,0.9855741858482361,785.1506958007812,499.3475646972656,0.9918014407157898,768.5123901367188,513.4838256835938,0.9892932176589966,752.483154296875,522.5593872070312,0.9963374137878418,715.7410888671875,555.4098510742188,0.9959641695022583,676.9531860351562,583.7835083007812,0.9921190738677979,638.3397827148438,608.2527465820312,0.9836359620094299,600.42578125,631.5113525390625,0.9821372628211975,574.9583740234375,654.4649658203125,0.9062556624412537,548.8695678710938,684.663818359375,0.9313958287239075,533.828369140625,713.0148315429688,0.9935370087623596
7,883.8956909179688,403.3351135253906,0.9995871186256409,877.08349609375,425.84918212890625,0.9981206059455872,861.4329833984375,447.14227294921875,0.989464282989502,838.7919921875,477.6180419921875,0.9667628407478333,808.7794189453125,494.0806579589844,0.9773496985435486,787.5746459960938,500.59539794921875,0.9944985508918762,770.9503173828125,515.2115478515625,0.9957256317138672,756.4560546875,524.0350341796875,0.9984980821609497,721.1483154296875,559.8372802734375,0.9993351101875305,682.670654296875,590.2633056640625,0.9888190627098083,647.1453857421875,613.6937866210938,0.9718874096870422,605.2625122070312,637.7735595703125,0.8760616183280945,580.1874389648438,659.3228759765625,0.9804972410202026,553.1474609375,687.0525512695312,0.9720463156700134,535.0162353515625,717.9563598632812,0.9939478635787964
